84564] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2125.645050] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2175.706878] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2225.773406] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2275.834228] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2325.891906] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2375.952087] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2426.011016] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2476.084991] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2526.179077] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2576.247955] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2626.313049] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2676.374969] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2726.430999] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2776.501220] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2826.568115] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2876.635162] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2926.691833] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 2976.755065] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3026.821228] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3076.880218] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3126.947631] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3177.014343] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3227.079742] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
<6>[ 3277.137939] batt: 100%, 4153 mV, 0 mA (0 avg), 33.0 C, 1358 mAh
